"","date","sp500 open","sp500 close","sp500 high-low","sp500 volume","nasdaq open","nasdaq close","nasdaq high-low","nasdaq volume","us_rates_%","CPI","usd_chf","eur_usd","GDP","silver high-low","oil high-low","platinum high-low","palladium high-low","gold high-low"
"101",2010-06-09,107.24,106.05,2.68000000000001,267756304,44.48,43.82,1.22,101949200,0.18,217.605,1.1455,1.2045,15141.607,0.277899999999999,0.549999999999997,2.34999999999999,1.0385,1.47999999999999
"102",2010-06-10,107.86,109.15,3.23999999999999,317694394,44.39,45.07,0.879999999999995,76892300,0.18,217.605,1.1418,1.2111,15141.607,0.439999999999998,0.560000000000002,1.73099999999999,0.899999999999999,1.21000000000001
"103",2010-06-11,108.19,109.68,1.63,214061156,44.63,45.5,0.93,74346800,0.18,217.605,1.1521,1.2077,15141.607,0.23,0.829500000000003,1.36999999999998,0.75,1.08
"104",2010-06-14,110.52,109.51,1.72,206968051,45.91,45.49,0.830000000000005,68085000,0.18,217.605,1.1378,1.2277,15141.607,0.32,0.869899999999994,1.25,0.699999999999996,1.30000000000001
"105",2010-06-15,110.28,112,2.00999999999999,237669665,45.71,46.71,1.3168,76332600,0.18,217.605,1.131,1.2327,15141.607,0.34,0.670000000000002,2.07000000000002,1.4397,1.55
"106",2010-06-16,111.42,111.96,1.22,216095034,46.58,46.9,0.640000000000001,78399700,0.18,217.605,1.1267,1.2323,15141.607,0.149999999999998,0.839999999999996,0.719999999999999,0.57,0.849999999999994
"107",2010-06-17,112.28,112.14,1.28,263055167,47.16,47.05,0.539999999999999,77111900,0.18,217.605,1.1137,1.2365,15141.607,0.170000000000002,0.616100000000003,1.04000000000002,0.899899999999995,0.920000000000002
"108",2010-06-18,111.83,111.73,0.759999999999991,173821764,47.06,47,0.480000000000004,75921400,0.18,217.605,1.1107,1.236,15141.607,0.236499999999999,0.619999999999997,2.0284,0.990000000000002,0.689999999999998
"109",2010-06-21,113.12,111.41,2.41,212852834,47.6,46.6,1.35,95488100,0.18,217.605,1.108,1.2385,15141.607,0.669999999999998,0.949999999999996,2.38999999999999,1.51,2.75
"110",2010-06-22,111.41,109.57,2.49000000000001,239055412,46.79,46.24,0.990000000000002,94493400,0.18,217.605,1.1047,1.2303,15141.607,0.240000000000002,0.609999999999999,1.41,0.859999999999999,0.719999999999999
"111",2010-06-23,109.64,109.23,1.55,254527875,46.29,46.05,0.780000000000001,92397600,0.18,217.605,1.1053,1.231,15141.607,0.3599,0.715000000000003,2.25,1.28,1.25
"112",2010-06-24,108.69,107.42,1.69,268265029,45.84,45.35,0.789999999999999,114145900,0.18,217.605,1.1048,1.2288,15141.607,0.41,0.593000000000004,2.07570000000001,1.1541,1.4901
"113",2010-06-25,107.74,107.87,1.65000000000001,237712217,45.51,45.27,0.709999999999994,88740300,0.18,217.605,1.0937,1.2332,15141.607,0.310000000000002,0.950000000000003,1.55000000000001,1.05,0.640000000000001
"114",2010-06-28,108.03,107.53,1.17999999999999,168908508,45.29,45.11,0.739999999999995,71350000,0.18,217.605,1.086,1.2316,15141.607,0.59,0.289999999999999,2.09,1.46,2.75
"115",2010-06-29,106.02,104.21,3.96000000000001,373318268,44.42,43.37,1.39,136384200,0.18,217.605,1.081,1.2187,15141.607,0.280000000000001,0.339999999999996,1.92999999999998,1.62,2.78999999999999
"116",2010-06-30,103.92,103.22,2,283318911,43.23,42.71,1.03,101313200,0.18,217.605,1.0774,1.2291,15141.607,0.210000000000001,0.959999999999994,1.47,1.02,1.21000000000001
"117",2010-07-01,103.15,102.76,2.36,382651225,42.82,42.59,1.19,158695000,0.18,217.605,1.0675,1.2464,15141.607,0.7041,1.1404,2.46850000000001,1.171,4.05
"118",2010-07-02,103.11,102.2,1.8,233291686,42.67,42.47,0.731499999999997,78565300,0.19,217.923,1.0635,1.2577,15309.474,0.290000000000003,0.744999999999997,2.90000000000001,1.232,1.09
"119",2010-07-06,103.64,102.87,2.49000000000001,255782116,43.09,42.6,1.12,88591900,0.19,217.923,1.0587,1.2646,15309.474,0.399999999999999,1.07,2.1745,1.56,1.42
"120",2010-07-07,103.13,106.11,3.22,253429307,42.74,43.96,1.30999999999999,72448400,0.19,217.923,1.0545,1.2594,15309.474,0.34,0.776699999999998,1.64999999999998,1.11,1.28
"121",2010-07-08,107,107.16,1.37,210678561,44.3097,44.2,0.700000000000003,78264600,0.19,217.923,1.0502,1.2683,15309.474,0.310000000000002,0.690000000000005,2.19,1.4,1.31
"122",2010-07-09,107.13,107.96,1.03999999999999,144930550,44.18,44.62,0.550000000000004,47851200,0.19,217.923,1.0577,1.2639,15309.474,0.189899999999998,0.600000000000001,1.09,0.809899999999999,0.730000000000004
"123",2010-07-12,107.6,108.03,1.08999999999999,130961733,44.58,44.75,0.57,60927500,0.19,217.923,1.0621,1.2573,15309.474,0.289999999999999,0.68,1.59,0.699999999999996,1.23
"124",2010-07-13,109.15,109.66,1.16,212543601,45.13,45.33,0.700000000000003,93310500,0.19,217.923,1.0524,1.2719,15309.474,0.1189,0.350000000000001,1.52099999999999,0.739000000000004,0.739999999999995
"125",2010-07-14,109.31,109.65,1.22,184330050,45.42,45.56,0.57,87687100,0.19,217.923,1.0556,1.2755,15309.474,0.309999999999999,0.759999999999998,1.47989999999999,0.720000000000006,1.53999999999999
"126",2010-07-15,109.61,109.68,1.89,231681837,45.46,45.6,0.75,95992500,0.19,217.923,1.0421,1.2893,15309.474,0.240000000000002,0.741,0.719999999999999,0.800000000000004,0.969999999999999
"127",2010-07-16,109.09,106.66,2.75999999999999,282607148,45.44,44.34,1.32810000000001,98831900,0.19,217.923,1.0522,1.2919,15309.474,0.210000000000001,0.510000000000005,1.33000000000001,1.12,0.840000000000003
"128",2010-07-19,107.05,107.29,1.41,186394545,44.48,44.72,0.710000000000001,81800800,0.19,217.923,1.0524,1.2963,15309.474,0.280000000000001,0.960000000000001,0.930000000000007,0.789999999999999,0.694100000000006
"129",2010-07-20,105.87,108.48,2.74000000000001,257880059,43.99,45.26,1.4,89061200,0.19,217.923,1.0481,1.2905,15309.474,0.237200000000001,0.813100000000006,2.41,1.7,1.25999999999999
"130",2010-07-21,109.04,107.07,2.44,264349757,45.75,44.64,1.2,83577000,0.19,217.923,1.052,1.2818,15309.474,0.267000000000003,1.22000000000001,1.40000000000001,0.950000000000003,1.29000000000001
"131",2010-07-22,108.34,109.46,1.61,274503131,45.26,45.77,0.739999999999995,82890300,0.19,217.923,1.0403,1.2903,15309.474,0.369999999999997,0.690000000000005,0.780000000000001,0.550000000000004,1.59
"132",2010-07-23,109.24,110.41,1.63999999999999,221913150,45.46,46.06,0.719999999999999,81056100,0.19,217.923,1.0529,1.2874,15309.474,0.149000000000001,0.419999999999995,1.08000000000001,1.06,1.67999999999999
"133",2010-07-26,110.6,111.56,1.38,181974164,46.12,46.44,0.550000000000004,64850900,0.19,217.923,1.048,1.2983,15309.474,0.149999999999998,0.330100000000002,0.849999999999994,0.539999999999999,1.17
"134",2010-07-27,112.17,111.55,1.18000000000001,204764961,46.69,46.42,0.509999999999998,67655600,0.19,217.923,1.0622,1.2983,15309.474,0.41,1.11,2.31999999999999,1.055,1.78
